$STR WITHDRAWAL AT SEG64                                     ELEV OF WITHDRAWAL CENTERLINE:292.     

JDAY,     TDS,    Gen1,    Gen2,    Gen3,    Gen4,    Gen5,    ISS2,     PO4,     NH4,     NO3,    LDOM,    RDOM,    LPOM,    RPOM,    ALG1,      DO,     TIC,     ALK,  LDOM-P,  RDOM-P,  LPOM-P,  RPOM-P,  LDOM-N,  RDOM-N,  LPOM-N,  RPOM-N,
  4384.002,   57.0000,    0.0000,    0.0000,    0.0000,    6.0600,    0.0000,    7.7000,    0.0480,    0.0500,    0.1270,    2.8890,    2.8890,    0.8690,    0.8690,    0.1000,    5.6400,    5.1300,   16.5050,    0.0059,    0.0059,    0.0017,    0.0017,    0.3245,    0.3245,    0.0735,    0.0735,
  4384.100,   57.0000,    0.0972,    0.0000,    0.0000,    6.0600,    0.0000,    7.6834,    0.0480,    0.0518,    0.1276,    2.8704,    2.8914,    0.8643,    0.8681,    0.0986,    5.6093,    5.1403,   16.5050,    0.0059,    0.0059,    0.0017,    0.0017,    0.3224,    0.3248,    0.0731,    0.0734,
  4384.202,   57.0000,    0.1995,    0.0000,    0.0000,    6.0600,    0.0000,    7.6759,    0.0481,    0.0536,    0.1282,    2.8511,    2.8940,    0.8606,    0.8676,    0.0972,    5.5747,    5.1513,   16.5050,    0.0058,    0.0059,    0.0017,    0.0017,    0.3202,    0.3251,    0.0727,    0.0734,
  4384.301,   57.0000,    0.2991,    0.0000,    0.0000,    6.0600,    0.0000,    7.6637,    0.0481,    0.0553,    0.1288,    2.8324,    2.8964,    0.8566,    0.8669,    0.0959,    5.5422,    5.1617,   16.5050,    0.0058,    0.0059,    0.0017,    0.0017,    0.3181,    0.3253,    0.0722,    0.0733,
  4384.400,   57.0000,    0.3985,    0.0000,    0.0000,    6.0600,    0.0000,    7.6203,    0.0482,    0.0566,    0.1294,    2.8141,    2.8989,    0.8507,    0.8645,    0.0980,    5.5245,    5.1666,   16.5050,    0.0057,    0.0059,    0.0017,    0.0017,    0.3160,    0.3256,    0.0717,    0.0731,
  4384.502,   57.0000,    0.5001,    0.0000,    0.0000,    6.0600,    0.0000,    7.5469,    0.0481,    0.0572,    0.1301,    2.7955,    2.9013,    0.8431,    0.8604,    0.1064,    5.5261,    5.1646,   16.5050,    0.0057,    0.0059,    0.0016,    0.0017,    0.3139,    0.3259,    0.0710,    0.0728,
  4384.601,   57.0000,    0.5996,    0.0000,    0.0000,    6.0600,    0.0000,    7.5939,    0.0482,    0.0590,    0.1307,    2.7775,    2.9037,    0.8424,    0.8632,    0.1040,    5.4780,    5.1810,   16.5050,    0.0057,    0.0059,    0.0016,    0.0017,    0.3119,    0.3262,    0.0708,    0.0730,
  4384.701,   57.0000,    0.6982,    0.0000,    0.0000,    6.0600,    0.0000,    7.6560,    0.0483,    0.0619,    0.1315,    2.7587,    2.9061,    0.8423,    0.8665,    0.0913,    5.4073,    5.2047,   16.5050,    0.0056,    0.0059,    0.0016,    0.0017,    0.3098,    0.3264,    0.0708,    0.0733,
  4384.800,   57.0000,    0.7989,    0.0000,    0.0000,    6.0600,    0.0000,    7.6536,    0.0484,    0.0635,    0.1322,    2.7404,    2.9085,    0.8388,    0.8664,    0.0898,    5.3728,    5.2158,   16.5050,    0.0056,    0.0059,    0.0016,    0.0017,    0.3077,    0.3267,    0.0704,    0.0733,
  4384.902,   57.0000,    0.8994,    0.0000,    0.0000,    6.0600,    0.0000,    7.6419,    0.0484,    0.0650,    0.1329,    2.7223,    2.9108,    0.8348,    0.8657,    0.0885,    5.3406,    5.2259,   16.5050,    0.0056,    0.0059,    0.0016,    0.0017,    0.3057,    0.3270,    0.0700,    0.0732,
  4385.000,   57.0000,    0.9994,    0.0000,    0.0000,    6.0600,    0.0000,    7.6299,    0.0485,    0.0666,    0.1337,    2.7044,    2.9132,    0.8308,    0.8650,    0.0873,    5.3088,    5.2359,   16.5050,    0.0055,    0.0059,    0.0016,    0.0017,    0.3036,    0.3272,    0.0696,    0.0732,
  4385.102,   57.0000,    1.0989,    0.0000,    0.0000,    6.0600,    0.0000,    7.6173,    0.0485,    0.0680,    0.1344,    2.6866,    2.9155,    0.8265,    0.8643,    0.0862,    5.2780,    5.2454,   16.5050,    0.0055,    0.0059,    0.0016,    0.0017,    0.3016,    0.3275,    0.0692,    0.0731,
  4385.200,   57.0000,    1.1975,    0.0000,    0.0000,    6.0600,    0.0000,    7.6055,    0.0486,    0.0694,    0.1352,    2.6691,    2.9177,    0.8225,    0.8636,    0.0850,    5.2470,    5.2551,   16.5050,    0.0055,    0.0059,    0.0016,    0.0017,    0.2997,    0.3277,    0.0688,    0.0730,
  4385.302,   57.0000,    1.2985,    0.0000,    0.0000,    6.0600,    0.0000,    7.5934,    0.0486,    0.0709,    0.1360,    2.6513,    2.9201,    0.8183,    0.8629,    0.0839,    5.2157,    5.2648,   16.5050,    0.0054,    0.0060,    0.0016,    0.0017,    0.2976,    0.3280,    0.0683,    0.0730,
  4385.400,   57.0000,    1.3974,    0.0000,    0.0000,    6.0600,    0.0000,    7.5414,    0.0486,    0.0718,    0.1368,    2.6341,    2.9223,    0.8119,    0.8600,    0.0861,    5.2030,    5.2677,   16.5050,    0.0054,    0.0060,    0.0016,    0.0017,    0.2957,    0.3282,    0.0678,    0.0727,
  4385.501,   57.0000,    1.4978,    0.0000,    0.0000,    6.0600,    0.0000,    7.4097,    0.0486,    0.0719,    0.1376,    2.6167,    2.9246,    0.8008,    0.8526,    0.0966,    5.2304,    5.2556,   16.5050,    0.0054,    0.0060,    0.0016,    0.0017,    0.2937,    0.3285,    0.0668,    0.0721,
  4385.602,   57.0000,    1.5975,    0.0000,    0.0000,    6.0600,    0.0000,    7.4127,    0.0486,    0.0728,    0.1384,    2.5996,    2.9268,    0.7974,    0.8529,    0.0994,    5.2044,    5.2636,   16.5050,    0.0053,    0.0060,    0.0016,    0.0017,    0.2918,    0.3287,    0.0665,    0.0721,
  4385.701,   57.0000,    1.6971,    0.0000,    0.0000,    6.0600,    0.0000,    7.5248,    0.0487,    0.0751,    0.1393,    2.5828,    2.9290,    0.7994,    0.8592,    0.0885,    5.1263,    5.2898,   16.5050,    0.0053,    0.0060,    0.0016,    0.0017,    0.2899,    0.3290,    0.0667,    0.0727,
  4385.803,   57.0000,    1.7977,    0.0000,    0.0000,    6.0600,    0.0000,    7.5466,    0.0488,    0.0767,    0.1402,    2.5654,    2.9312,    0.7961,    0.8604,    0.0837,    5.0782,    5.3049,   16.5050,    0.0053,    0.0060,    0.0016,    0.0017,    0.2879,    0.3292,    0.0664,    0.0728,
  4385.903,   57.0000,    1.8976,    0.0000,    0.0000,    6.0600,    0.0000,    7.5422,    0.0488,    0.0781,    0.1411,    2.5481,    2.9334,    0.7915,    0.8601,    0.0811,    5.0426,    5.3155,   16.5050,    0.0052,    0.0060,    0.0016,    0.0017,    0.2860,    0.3295,    0.0661,    0.0727,
  4386.000,   57.0000,    1.9955,    0.0000,    0.0000,    6.0600,    0.0000,    7.5483,    0.0489,    0.0794,    0.1420,    2.5312,    2.9355,    0.7879,    0.8604,    0.0787,    5.0058,    5.3273,   16.5050,    0.0052,    0.0060,    0.0016,    0.0017,    0.2841,    0.3297,    0.0658,    0.0728,
  4386.102,   57.0000,    2.0970,    0.0000,    0.0000,    6.0600,    0.0000,    7.5524,    0.0489,    0.0806,    0.1429,    2.5140,    2.9377,    0.7843,    0.8607,    0.0770,    4.9699,    5.3381,   16.5050,    0.0051,    0.0060,    0.0015,    0.0017,    0.2822,    0.3300,    0.0654,    0.0728,
